Date	TMax	TMin	Precip	Snow	SDep	EstRs	EsWind	EsTDew	Penm48	PreTay	ASCEr	ASCEg	85Harg
 	C	C	In*100	In*100	In	MJ/m2	m/s	C	mm/day	mm/day	mm/day	mm/day	mm/day
1/1/1979	-7.18	-13.22	0	0	0	6.31585160795361	2	-15.22	0.714244650626877	0.42725169950967	0.807802539468198	0.573959615880603	0.324534229931366
1/2/1979	-2.92	-17.36	3.084685	0	0	12.2469774297543	2	-19.36	1.02178887288154	0.53134560048754	1.38719481947644	0.937481127245333	0.507162687839227
1/3/1979	4.83	-11.16	0	0	0	12.7290446611263	2	-13.16	1.44494843543945	0.688514370620176	2.10370397541641	1.39610602840248	1.02936015795486
1/4/1979	11.08	-5.01	0	0	0	12.6376588193895	2	-7.01	1.81290299324092	0.823332848801244	2.72989699029886	1.79677805871231	1.48329577491842
1/5/1979	8.56	-1.91	2.005827	0	0	9.8699762169742	2	-3.91	1.56475795278688	0.815490323764696	2.07682347859387	1.41598867160548	1.21758340839322
1/6/1979	7.18	-5.11	4.520079	0	0	11.106202027095	2	-7.11	1.54689234977789	0.785580163154893	2.1057149119522	1.42366986588858	1.17779635297693
1/7/1979	1.67	-7.17	0	0	0	8.85790951892651	2	-9.17	1.18317521201873	0.662094192791901	1.46160262584477	1.01577422920421	0.798302765642457
1/8/1979	-0.1899995	-9.209999	0	0	0	9.07822002109053	2	-11.21	1.10519693885041	0.624674201991819	1.35371510280026	0.942631664281308	0.703386895224601
1/9/1979	7.190001	-5.06	1.344134	0	0	11.2228516522747	2	-7.06	1.56512704359682	0.809362449937759	2.11695835010931	1.43628288079808	1.1917857897392
1/10/1979	1.62	-2.88	19.76024	0	0	4.89002659306196	2	-4.88	1.00447936436625	0.623815525113631	1.14499245613105	0.823189515025113	0.659219688364907
1/11/1979	8.900001	-3.79	0	0	0	11.5349952431605	2	-5.79	1.68378087246372	0.86702096846661	2.30870075594741	1.56334787728318	1.3222607509076
1/12/1979	16.42	-2.34	0	0	0	13.690937231315	2	-4.34	2.22991669904628	0.985159836480905	3.578592153317	2.33262435797688	1.97953136534516
1/13/1979	7.510001	-7.530001	0	0	0	12.8432958477583	2	-9.530001	1.65924860271179	0.839104944868597	2.35206210869543	1.5798440683845	1.2670740122573
1/14/1979	0.2500004	-11.32	0	0	0	11.2452220344927	2	-13.32	1.21325544826096	0.681316114062029	1.5421997121789	1.06599190406053	0.766052322780664
1/15/1979	7.28	-7.72	0	0	0	12.9729429809833	2	-9.719999	1.66288173140128	0.856128981192729	2.3398279821698	1.57691509697125	1.26303310759272
1/16/1979	15.38	-2.420001	0	0	0	13.7740041954638	2	-4.420001	2.20419145337121	1.03707032318614	3.41197058881396	2.24966977219256	1.92258856584312
1/17/1979	19.12	4.059999	0	0	0	12.7484088981704	2	2.059999	2.40521323587566	1.1955383936453	3.57201630867898	2.38816977238147	2.16293140334086
1/18/1979	21.01	9.16	7.844488	0	0	11.0634679288773	2	7.16	2.4109723626545	1.30228375983739	3.38439561020794	2.31261071061542	2.16617801872493
1/19/1979	21.29	8.719999	0	0	0	11.5601812534246	2	6.719999	2.47632300455944	1.32667602842514	3.51591512332176	2.3950667252887	2.23836058986875
1/20/1979	11.83	4.39	2.464055	0	0	7.96883948399778	2	2.39	1.68186633010287	1.00423141212678	2.09861821350145	1.4822494569267	1.35924525973543
1/21/1979	11.17	-1.5	0	0	0	12.1356111839254	2	-3.5	1.91260336396688	1.05196923815565	2.58655931294378	1.77427003110983	1.55417618434052
1/22/1979	15.31	-0.2500004	0	0	0	13.5177684443556	2	-2.25	2.25116399947849	1.17010941954015	3.27062373240934	2.20391493636781	1.944364940004
1/23/1979	7.680001	-3.069999	0	0	0	11.1083517500938	2	-5.07	1.67028359560675	0.973356814489307	2.13114039827724	1.48744370708984	1.28452734791776
1/24/1979	9.449999	-5.16	7.876771	0	0	13.4839590617988	2	-7.16	1.88997780876349	1.04262987557467	2.59919355631867	1.77683811307748	1.49496089891685
1/25/1979	14.82	1.779999	16.42244	0	0	12.5648498491444	2	-0.2200007	2.1973106240245	1.22836040213703	3.01199799934012	2.07061576477191	1.87127306150308
1/26/1979	13.02	3.16	4.99685	0	0	10.4751092561059	2	1.16	1.96066863742962	1.16706973162284	2.51910951701304	1.76895546535092	1.62457743138518
1/27/1979	6.77	-4.13	0	0	0	11.5666062095963	2	-6.13	1.66749084651194	1.00211389156299	2.09778352153525	1.47452800869577	1.26190656682779
1/28/1979	4.440001	-5.98	0	0	0	11.3375616681291	2	-7.98	1.52768708351921	0.938159849324639	1.87646383097052	1.32773356695235	1.10434448598007
1/29/1979	10.77	-0.6400002	0	0	0	11.9989605993778	2	-2.64	1.94744738669386	1.16509143907033	2.51163729009921	1.76069294670993	1.5710679095845
1/30/1979	8.540001	-2.79	0	0	0	12.1011415324655	2	-4.79	1.82403633537271	1.10844703794151	2.3131521587776	1.62845065031361	1.42267746418575
1/31/1979	6.08	-9.280001	0	0	0	14.65258305785	2	-11.28	1.77333618531828	1.04880973025849	2.36967924111817	1.64174052510669	1.30173713641996
2/1/1979	12.09	-5.85	0	0	0	15.4581561605199	2	-7.85	2.22262704228238	1.24310367019474	3.21090532421949	2.1844286689288	1.83805486177246
2/2/1979	17.99	0.27	0	0	0	15.2776884664355	2	-1.73	2.66023628996718	1.46919142673482	3.92481818211701	2.6638779813108	2.38232080134368
2/3/1979	15.04	4.29	25.70984	0	0	11.6676555925807	2	2.29	2.23780635264289	1.38714681312338	2.88191155725307	2.0398053140933	1.9073692021602
