Date,TMax,TMin,Precip,Snow,SDep,EstRs,EsWind,EsTDew,Penm48,PreTay,ASCEr,ASCEg,85Harg
Units,C,C,In*100,In*100,In,MJ/m2,m/s,C,mm/day,mm/day,mm/day,mm/day,mm/day
1958-06-07,19.327913,4.99791355556,2.41919,0.0,0.0,27.2583167941,2.45396054628,3.16579070785,5.33142209783,4.81845125777,5.91851693788,4.70167593134,4.39280264665
1958-06-08,16.5979134444,5.5379135,2.41919,0.0,0.0,23.4810271307,2.45396054628,3.7057906523,4.57936028733,4.18678846606,4.85984123398,3.91463103419,3.71845296184
1958-06-09,18.2179143333,5.47791361111,9.67677,0.0,0.0,25.6588539127,2.45396054628,3.64579076341,5.02419340046,4.57405740675,5.45499181951,4.36650887845,4.10601840068
1958-06-10,20.9579140556,4.88791388889,0.8064,0.0,0.0,28.7475867515,2.45396054628,3.05579104119,5.69968754024,5.11059608332,6.50329117698,5.12321501015,4.78815896772
1958-06-11,21.5279137778,4.93791361111,0.0,0.0,0.0,29.1147497032,2.45396054628,3.10579076341,5.81145072044,5.19636551663,6.69155700305,5.25731344993,4.91975907988
1958-06-12,18.8079144444,4.38791388889,0.0,0.0,0.0,27.5292561212,2.45396054628,2.55579104119,5.30539106521,4.80486350739,5.86379702444,4.66230577467,4.34161388754
1958-06-13,22.6479146111,4.8079135,0.0,0.0,0.0,29.8845737639,2.45396054628,2.9757906523,6.03120733957,5.35424411511,7.09282625894,5.53531952302,5.19304201976
1958-06-14,25.4579140556,4.93791361111,0.0,0.0,0.0,30.9681805735,2.45396054628,3.10579076341,6.479951149,5.64656215523,8.01933824507,6.16068812026,5.84076602068
1958-06-15,28.2079140556,7.8079135,0.0,0.0,0.0,30.6882382988,2.45396054628,5.9757906523,6.82791334519,5.94232653317,8.56111760099,6.57594551178,6.33978942646
1958-06-16,31.5279137778,6.71791383333,0.0,0.0,0.0,31.7073513878,2.45396054628,4.88579098563,7.27848711907,6.13086715112,9.8805498912,7.3965386284,7.21991944111
1958-06-17,31.5479142222,8.89791366667,0.0,0.0,0.0,31.1715769394,2.45396054628,7.06579081897,7.28347113767,6.22988178878,9.57303634379,7.25546933578,7.11377888137
1958-06-18,31.0179135556,6.60791372222,0.8064,0.0,0.0,31.6857539784,2.45396054628,4.77579087452,7.22106931158,6.10384833334,9.71863525754,7.29350483356,7.10313157265
1958-06-19,29.0579144444,13.2579133333,37.01365,0.0,0.0,27.9575627759,2.45396054628,11.4257904856,6.65426568651,5.9658877529,7.91211536606,6.2330899628,6.09532649769
1958-06-20,26.5879132222,5.5379135,0.0,0.0,0.0,31.1264071787,2.45396054628,3.7057906523,6.64568833294,5.76973579386,8.33113155628,6.38084658505,6.08582611852
1958-06-21,32.0879132222,8.35791372222,0.0,0.0,0.0,31.4269854442,2.45396054628,6.52579087452,7.35807885651,6.24462125531,9.84757351692,7.41752000179,7.28421498326
1958-06-22,33.1479146111,10.4879138333,1.6128,0.0,0.0,31.0267933469,2.45396054628,8.65579098563,7.48123184991,6.39481415217,9.89795419765,7.50064771715,7.42716091444
1958-06-23,31.3779141667,7.5579135,58.46383,0.0,0.0,31.5064022216,2.45396054628,5.7257906523,7.26723029832,6.16571623297,9.71062014614,7.3110154078,7.14548619344
1958-06-24,25.2379128333,6.04791377778,1.6128,0.0,0.0,30.4397581455,2.45396054628,4.21579093008,6.42431324989,5.64897582592,7.79884987589,6.03754920171,5.73246593219
1958-06-25,23.8079144444,5.46791383333,0.0,0.0,0.0,30.1124725494,2.45396054628,3.63579098563,6.20854780842,5.49315731712,7.39505588023,5.75436627213,5.42831057394
