Parameters for crop types --- Idaho Evapotranspiration Calculation						The Kc max was changed from 1.0 to 1.2 for use with a Eto reference.  However, these Kc max values are not used in program.																																																																																
85	Number of crop types					Five added Dec.2006 for irrig/rainfed on grains and sunflower/safflower																																																																																
This spreadsheet version is for Nevada.  Feb. 2008		Crop/Land Cover																																																																																				
Parameter	Explanation	Alfalfa Hay - (typical style)	Alfalfa Hay - frequent dairy style ~4 cuttings	Alfalfa Hay	Grass Hay	Snap and Dry Beans - fresh	Snap and Dry Beans - seed	Field Corn (moderate lengthed season)	Silage Corn (field corn but with truncated season)	Sweet Corn -- early	Sweet Corn -- late	Spring Grain - Irrigated	Spring Grain - Rainfed	Winter Grain - Irrigated	Winter Grain - Rainfed	Grass Pasture (High Management)	Grass Pasture (Low Management)	Turfgrass (lawns) - Irrig.	Turfgrass (lawns) - Rainfed	Orchards - Apples and Cherries w/ground cover	Orchards - Apples and Cherries no ground cover	Garden Vegetables (general)	Carrots	Onions	Melons	Grapes--wine	Alfalfa Seed	Peas--fresh	Peas--seed	Potatoes - processing (early harvest)	Potatoes - baking (late harvest)	Sugar beets	Hops	Mint	Poplar (third year and older)	Lentils	Sunflower - Irrigated	Sunflower - Rainfed	Safflower - Irrigated	Safflower - Rainfed	Canola	Mustard	BlueGrass Seed	Garlic	Bare soil	Mulched soil / wheat stubble	Dormant turf/sod (winter time)	Range Grasses- early short season (cheat etc.)	Range Grasses- long season (bunch - wheatgrass, etc.)	Range Grasses - brome grass	Sagebrush	Wetlands--large stands	Wetlands--narrow stands	Cottonwoods	Willows	Open water - Shallow	Open water - Deep	Open water - Stock	Cotton	Peppers	Sorghum	Olives	Strawberries	Blueberries	Raspberries	Rice	Soybeans	Peanuts	Millet	Tomatoes	Oranges	Lettuce (Single Crop)	Lettuce First Planting	Lettuce Second Planting	Nuts	Cranberries	Sugarcane	Field Corn After Another Crop	Sorghum After Another Crop	Cotton After Another Crop	Cabbage	Sudan	Christmas Trees	Melons After Another Crop	Grain After Another Crop	Soybeans After Another Crop
End of root growth, as a fraction of time from pl to EFC (or term if type 4)	erg	0.5	0.5	0.5	0.4	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	0.4	0.4	0.4	0.4	0.5	0.5	1.2	1.2	1.2	1.2	1	0.5	1	1	1	1	1.2	1	0.8	1	1.2	1.2	1.2	1.2	1.2	1.2	1.2	0.4	1	1	1	1	0.3	0.3	0.3	1	1	1	0.5	0.5	0	0	0	1.2	1.2	1.2	0.5	0.8	0.5	0.5	1.2	1.2	1.2	1.2	1	0.5	1.2	1.2	1.2	0.5	0.5	1.2	1.2	1.2	1.2	1.2	0.5	0.5	1.2	1.2	1.2
Starting crop height, m	sch	0.1	0.1	0.1	0.1	0.05	0.05	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.1	0.1	0.05	0.05	4	4	0.1	0.1	0.1	0.05	1.5	0.1	0.05	0.05	0.05	0.05	0.05	1	0.1	6	0.05	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.05	1	0.3	0.3	10	5	0.005	0.005	0.005	0.05	0.1	0.1	4	0.1	0.5	0.5	0.05	0.05	0.05	0.05	0.05	4	0.1	0.1	0.1	4	0.5	0.1	0.1	0.1	0.05	0.1	0.1	3	0.05	0.1	0.05
Maximum crop height, m	mch	0.5	0.6	0.6	0.6	0.35	0.35	3	3.5	1.5	1.5	1	1	1	1	0.25	0.15	0.1	0.1	4	4	0.4	0.5	0.4	0.3	1.5	0.6	0.3	0.3	0.4	0.4	0.35	6	0.5	6	0.5	2	2	1	1	1	1	0.3	1	0.05	0.05	0.05	0.3	0.7	0.7	1	1.5	1.5	10	5	0.005	0.005	0.005	0.5	0.7	1.5	4	0.3	0.5	0.5	0.5	0.35	0.35	1	0.4	4	0.4	0.4	0.4	4	0.5	1.5	3	1.5	0.5	0.4	1.5	3	0.3	1.5	0.35
Crop curve number	ccn	13	13	13	19	12	11	8	9	10	10	1	1	2	2	30	31	29	29	24	25	20	20	20	22	21	33	4	3	7	6	5	23	18	34	17	28	28	28	28	27	27	32	26	0	0	0	38	39	40	37	35	36	41	42	0	0	0	43	44	45	47	48	49	50	51	52	52	1	54	55	56	56	56	46	49	58	8	45	43	59	13	60	22	1	52
Crop curve name	ccn	Alfalfa 1st cycle	Alfalfa 1st cycle	Alfalfa 1st cycle	Grass Hay	Snap Beans, fresh	Snap Beans, seed	Field Corn	Sileage Corn	Sweet Corn	Sweet Corn	Spring wheat	Spring wheat	Winter Wheat	Winter Wheat	Pasture, Rotated	Pasture, Low Manag.	Lawn	Lawn	Apples, GC	Apples, no GC	Onions	Onions	Onions	Melons	Winegrapes	Alfalfa Seed	Peas, fresh	Peas, seed	Potatoes Processing	Potatoes - Late (baking)	Sugar Beets	Hops	Mint	Poplar	Lentils	Sunflower/Safflower	Sunflower/Safflower	Sunflower/Safflower	Sunflower/Safflower	Canola	Mustard	BlueGrass Seed	Garlic				cheatgrass	bunchgrass	Bromegrass	Sage	Wetlands, Large Stand	Wetlands, Small Stand	Cottonwood	Willow				Cotton	Peppers	Sorghum	Olives	Strawberries	Blueberries	Raspberries	Rice	Snap Beans, seed	Snap Beans, seed	Spring wheat	Potatoes Processing	Oranges	Lettuce (Single Crop)	Lettuce First Planting	Lettuce Second Planting	Nuts	Cranberries	Sugarcane	Field Corn	Sorghum After Another Crop	Cotton After Another Crop	Cabbage	Alfalfa 1st cycle	Christmas Trees	Melons	Grain After Another Crop	Snap Beans, seed
Crop curve type	1=NCGDD, 2=%PL-EC, 3=%PL-EC,daysafter, 4=%PL-Term	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	2	2	2	2	2	2	2	2	2	3	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	3	2	0	0	0	4	4	4	4	3	3	2	2				1	1	3	3	1	3	3	1	1	1	1	1	3	1	1	1	3	3	1	1	3	1	1	1	3	2	3	1
Flag for means to estimate pl or gu	1=CGDD, 2=T30, 3=date, 4 is on all the time	1	1	1	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	3	2	2	4	4	4	2	2	2	2	2	2	2	2	4	4	4	2	2	2	3	1	3	3	2	2	2	2	2	3	2	2	2	2	3	2	2	2	2	2	1	3	2	2	2
T30 for pl or gu   or CGDD for pl or gu		310.00	240.00	370.00	12.00	13.00	21.27	15.09	13.00	14.43	12.00	7.00	5.00			10.00	6.85	10.00	10.00	8.00	8.00	20.49	9.00	19.00	21.00	10.50	240.00	10.50	21.27	10.50	10.50	11.00	600.00	600.00	10.50	10.50	21.09	13.50	11.00	11.00	8.00	11.00	10.50	10.00				10.50	10.50	10.50	10.50	15.00	15.00	8.00	8.00				20.32	19.00	20.20	0.00	600.00	0.00	0.00	15.00	21.27	21.27	21.48	10.50		11.00	10.50	27.00	11.00	0.00	16.00	19.00	19.00	20.00	11.00	300.00	0.00	27.00	27.00	13.00
Date of pl or gu  (can be blank)	A negative values is an offset to the prior row, pos is months (fraction).													10	10																											4.83						-10	-10	-10	-10											1		1	1						1					1							1			
For NCGDD based curves: Tbase:	Temp Min. C (neg. for spec.)	0	0	0	0	5	5	-10	-10	-10	-10	0	0	0	0												0	0	0	5	5	0	0	0		0																							-12.5	-10	-7		0			0	5	5	0	5		0	0	0			-10	-10	-7	-12.5	0	0			-7	5
  CGDD for EFC	cgdd efc	900	700	850	1300	670	670	700	500	600	500	880	800	1150	1100													637	800	800	800	970		1400		935																							800	1490			1400			880	850	850	1000	900		1000	800	800			540	540		800	1000	1860				755
  CGDD for termination	cgdd term	850	650	1000	4500	1200	1350	1750	1100	1100	1000	2040	2050	2000	1800													1300	2200	1600	2150	2700		4000		2160																							1950	2280			4000			2190	2000	2000	2800	2100		2300	1800	2000			1000	1400		1800	2300	3010				1690
For time based curves:																																																																																						
  time for EFC	days after pl or gu															50	50	60	60	130	130	80	80	70	70	120	80						100		21		70	70	70	70	55	55	35	80								45	45	60	60						35	60		60	60						1				45	60			60				1	70	60	
  time for harvest (neg to extend until frost)	Use as max length for CGDD crops	-240	-240	-240	-250			210	210	210	210	210	210			-220	-220	-270	-270	320	320	200	200	205	190	180	100						200		-200		190	190	190	190	170	190	-230	170								-200	-200	-260	-260						105	-100		-100	-100					165	-100				330	-100			70				-100	190	90	
Killing frost temperature	C	-5	-7	-4	-5	-2	-2	-5	-4	-4	-5	-100	-100	-100	-100	-5	-5	-5	-5	-5	-5	-2	-2	-2	-2	-3	-7	-4	-4	-5	-5	-4	-2	-4	-5	-4	-4	-4	-4	-4	-4	-4	-5	-2	-50	-50	-50	-5	-5	-5	-5	-2	-2	-4	-6	-50	-50	-50	-2	-2	-3	-100	-4	-100	-100	-100	-2	-2	-100	-5	-100	-5	-5	-5	-3	-100	-4	-5	-3	-2	-5	-7	-100	-2	-3	-2
Invoke Stress	1 yes, 0 no, 2 yes and will wake up after severe stress (Ks<0.05)	2	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	2	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Curve number																																																																																						
  coarse soil		60	60	60	60	67	67	67	67	67	67	63	63	65	65	40	40	40	40	60	65	72	72	72	72	65	60	63	63	70	70	67	65	60	65	58	58	58	58	58	58	58	40	65	77	70	40	49	49	49	70	30	30	60	65				67	72	63	65	60	65	65	63	67	67	63	70	65	72	72	72	65	65	67	67	63	67	72	60	65	72	63	67
  medium soil		68	68	68	68	75	75	75	75	75	75	75	75	75	75	70	70	70	70	68	72	80	80	80	80	72	68	70	70	76	76	74	72	68	72	72	72	72	72	72	72	72	70	72	86	76	70	69	69	69	76	40	40	68	72				75	80	75	72	68	72	72	75	75	75	75	76	72	80	80	80	72	72	75	75	75	75	80	68	72	80	75	75
  fine soil		77	77	77	77	85	85	85	85	85	85	85	85	85	85	82	82	82	82	70	82	88	88	88	88	82	77	82	82	88	88	86	82	77	82	83	83	83	83	83	83	83	82	82	92	88	82	81	81	81	88	50	50	70	82				85	88	85	82	77	82	82	85	85	85	85	88	82	88	88	88	82	82	85	85	85	85	88	77	82	88	85	85
