Date,TMax,TMin,Prcp
1950-04-22,68.6402425,36.8702432,0.0000000
1950-04-23,53.8802429,24.8642431,0.0000000
1950-04-24,65.8682443,22.0922431,0.0000000
1950-04-25,67.6322435,28.1762433,0.0000000
1950-04-26,62.8802446,22.0562432,0.0000000
1950-04-27,51.9182426,38.9042434,0.0000000
1950-04-28,53.9342441,23.7842432,0.0000000
1950-04-29,60.8822435,22.1822435,0.0000000
1950-04-30,63.9422449,29.0402434,0.0040563
1950-05-01,55.6918495,33.6598500,0.1248725
1950-05-02,43.9018500,27.8818499,0.1408623
1950-05-03,44.9278504,26.9098499,0.0190354
1950-05-04,45.9358502,28.9798501,0.0076142
1950-05-05,49.9318499,32.9038500,0.0000000
1950-05-06,47.8438501,23.9758497,0.0000000
1950-05-07,55.8178507,25.0918504,0.0000000
1950-05-08,58.0678507,24.1018500,0.0000000
1950-05-09,66.8518492,23.0038498,0.0000000
1950-05-10,71.9818499,32.0218500,0.0000000
1950-05-11,76.8778486,37.0978501,0.0000000
1950-05-12,79.9018492,36.0538500,0.0000000
1950-05-13,76.9138495,38.0338501,0.0000000
1950-05-14,74.9158484,41.9038498,0.0000000
1950-05-15,72.8098517,30.9238500,0.0000000
1950-05-16,78.8938501,30.0418500,0.0000000
1950-05-17,61.0558504,38.8798501,0.0000000
1950-05-18,61.9558504,26.9818499,0.0000000
1950-05-19,72.8998503,27.0358498,0.0000000
1950-05-20,76.8238508,34.8838501,0.0000000
1950-05-21,78.7678507,37.8898502,0.0000000
1950-05-22,79.8838488,38.9698500,0.0000000
1950-05-23,79.8298510,34.0018500,0.0000000
1950-05-24,77.8858511,39.9598499,0.0000000
1950-05-25,77.8678507,36.2878500,0.0000000
1950-05-26,82.9618506,34.1098500,0.0000000
1950-05-27,81.7378500,42.8398498,0.0000000
1950-05-28,77.9398489,31.2118500,0.0000000
1950-05-29,81.6838488,37.0438501,0.0000000
1950-05-30,84.8878500,39.2578502,0.0000000
1950-05-31,83.8618506,44.8378500,0.0000000
1950-06-01,83.8298698,40.0358691,0.0000000
1950-06-02,79.7978702,44.0138691,0.0000000
1950-06-03,80.9138683,33.9878693,0.0000000
1950-06-04,86.8358699,37.0478694,0.0000000
1950-06-05,81.7778709,37.8758694,0.0000000
1950-06-06,70.8518680,37.8578694,0.0000000
1950-06-07,52.9418701,29.9738692,0.0000000
1950-06-08,66.7478702,37.7858691,0.0000000
1950-06-09,66.8018680,36.9038691,0.0000000
1950-06-10,67.8998691,35.1218693,0.0040375
1950-06-11,60.1598688,41.8718690,0.0839801
1950-06-12,51.9338693,40.8818696,0.2584003
1950-06-13,65.8658706,40.8818696,0.0000000
1950-06-14,73.0118694,37.9838693,0.0000000
1950-06-15,74.9018680,38.9558692,1.0578263
1950-06-16,69.8078682,46.0118694,0.0242250
1950-06-17,67.9358699,41.0438690,0.0403750
1950-06-18,75.8738697,41.9438690,0.0355300
